IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
192.168.155.132,,80,tcp,9.8,High,80,"VendorFix","Joomla! < 3.8.0 LDAP Information Disclosure Vulnerability","Joomla is prone to an information disclosure vulnerability.","Installed version: 1.5.0
Fixed version:     3.8.0

",1.3.6.1.4.1.25623.1.0.112049,"CVE-2017-14596",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,e51e473e-74e0-48e9-b396-54944bcf7187,"Successfully exploiting these issues will allow
  remote attackers to gain access to potentially sensitive information.","Upgrade to Joomla version 3.8.0 or later.","Joomla! versions 1.5.0 through 3.7.5","Joomla is prone to the following information disclosure vulnerability:

  - Inadequate escaping in the LDAP authentication plugin can result into a disclosure of username and password.","Checks if a vulnerable version is present on the target host.
Details:
Joomla! < 3.8.0 LDAP Information Disclosure Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.112049)
Version used: 2023-07-14T16:09:27Z
","","","DFN-CERT-2017-1977,DFN-CERT-2017-1663,CB-K17/1899,CB-K17/1591",""
192.168.155.132,,10000,tcp,9.6,High,80,"WillNotFix","Webmin <= 1.994 Multiple Vulnerabilities","Webmin is prone to multiple vulnerabilities.","Installed version: 1.580
Fixed version:     None
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.127047,"CVE-2021-32156,CVE-2021-32157,CVE-2021-32158,CVE-2021-32159,CVE-2021-32160,CVE-2021-32161,CVE-2021-32162",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,e73d1c06-0346-468a-93be-e535e14448a5,"","No known solution was made available for at least one year since
  the disclosure of this vulnerability. Likely none will be provided anymore. General solution options
  are to upgrade to a newer release, disable respective features, remove the product or replace the
  product by another one.","Webmin version 1.994 and prior.","The following vulnerabilities exist:

  - CVE-2021-32156: A cross-site request forgery (CSRF) vulnerability exists via
  the Scheduled Cron Jobs feature.

  - CVE-2021-32157: A cross-site scripting (XSS) vulnerability exists via the Scheduled Cron Jobs
  feature.

  - CVE-2021-32158: An XSS vulnerability exists via the Upload and Download feature.

  - CVE-2021-32159: A CSRF vulnerability exists via the Upload and Download feature.

  - CVE-2021-32160: An XSS vulnerability exists through the Add Users feature.

  - CVE-2021-32161: An XSS vulnerability exists through the File Manager feature.

  - CVE-2021-32162: A CSRF vulnerability exists through the File Manager feature.","Checks if a vulnerable version is present on the target host.
Details:
Webmin <= 1.994 Multiple Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.127047)
Version used: 2023-10-19T05:05:21Z
","","","CB-K22/0412",""
192.168.155.132,,5432,tcp,9.0,High,99,"Mitigation","PostgreSQL Default Credentials (PostgreSQL Protocol)","It was possible to login into the remote PostgreSQL as user
  postgres using weak credentials.","It was possible to login as user postgres with password ""postgres"".


",1.3.6.1.4.1.25623.1.0.103552,"",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,4b3d2598-e70b-4be5-b984-e4de4ecd90c5,"","Change the password as soon as possible.","","","
Details:
PostgreSQL Default Credentials (PostgreSQL Protocol)
(OID: 1.3.6.1.4.1.25623.1.0.103552)
Version used: 2024-07-19T15:39:06Z
","Product: cpe:/a:postgresql:postgresql:9.3.21
Method: PostgreSQL Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.128025)
","","",""
192.168.155.132,,80,tcp,8.8,High,80,"VendorFix","Joomla! < 3.9.13 Multiple Vulnerabilities","Joomla! is prone to multiple vulnerabilities.","Installed version: 1.5.0
Fixed version:     3.9.13
Installation
path / port:       /joomla1.5.0

",1.3.6.1.4.1.25623.1.0.113556,"CVE-2019-18650,CVE-2019-18674",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,c4dcb01d-0f3b-4660-aa8e-6894829f9e7e,"Successful exploitation would allow an attacker to
  access sensitive information or perform actions
  in the context of another user.","Update to version 3.9.13.","Joomla! through version 3.9.12.","The following vulnerabilities exist:

  - A missing check in com_template causes a CSRF vulnerability.

  - A missing access check in the phputf8 mapping files could lead to a path disclosure.","Checks if a vulnerable version is present on the target host.
Details:
Joomla! < 3.9.13 Multiple Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.113556)
Version used: 2021-09-02T13:01:30Z
","","","DFN-CERT-2019-2299,CB-K19/0960",""
192.168.155.132,,10000,tcp,8.8,High,80,"VendorFix","Webmin <= 1.991 Privilege Escalation Vulnerability","Webmin is prone to a privilege escalation vulnerability.","Installed version: 1.580
Fixed version:     1.994
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.127014,"CVE-2022-30708",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,cda2fafe-3864-40b5-aece-b47ca1409cc4,"","Update to version 1.994 or later.","Webmin version 1.991 and prior.","Webmin, when the Authentic theme is used, allows remote code
  execution when a user has been manually created (i.e., not created in Virtualmin or Cloudmin).
  This occurs because settings-editor_write.cgi does not properly restrict the file parameter.","Checks if a vulnerable version is present on the target host.
Details:
Webmin <= 1.991 Privilege Escalation Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.127014)
Version used: 2022-05-26T03:04:21Z
","","","CB-K22/0609",""
192.168.155.132,,10000,tcp,8.8,High,80,"VendorFix","Webmin <= 1.984 Multiple Vulnerabilities","Webmin is prone to multiple vulnerabilities.","Installed version: 1.580
Fixed version:     1.990
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.147747,"CVE-2022-0824,CVE-2022-0829",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,d4ef7750-eeee-40ce-8aca-3a28564b4fa7,"","Update to version 1.990 or later.","Webmin version 1.984 and prior.","The following vulnerabilities exist:

  - CVE-2022-0824: Improper access control leads to remote code execution (RCE)

  - CVE-2022-0829: Improper authorization","Checks if a vulnerable version is present on the target host.
Details:
Webmin <= 1.984 Multiple Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.147747)
Version used: 2022-04-27T08:53:35Z
","","","CB-K22/0267",""
192.168.155.132,,10000,tcp,8.8,High,80,"WillNotFix","Webmin <= 1.983 RCE Vulnerability","Webmin is prone to a remote code execution (RCE) vulnerability.","Installed version: 1.580
Fixed version:     None
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.145090,"CVE-2020-35606",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,ccee9ae8-80f2-4c5b-a532-c472a22b8031,"","No known solution was made available for at least one year
  since the disclosure of this vulnerability. Likely none will be provided anymore. General solution
  options are to upgrade to a newer release, disable respective features, remove the product or
  replace the product by another one.","Webmin version 1.983 and prior.","Arbitrary command execution can occur in Webmin. Any user
  authorized for the Package Updates module can execute arbitrary commands with root privileges via
  vectors involving %0A and %0C.

  NOTE: this issue exists because of an incomplete fix for CVE-2019-12840.","Checks if a vulnerable version is present on the target host.
Details:
Webmin <= 1.983 RCE Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.145090)
Version used: 2021-12-23T08:45:36Z
","","","",""
192.168.155.132,,10000,tcp,8.8,High,80,"WillNotFix","Webmin <= 1.941 RCE Vulnerability","Webmin is prone to a remote code execution (RCE) vulnerability.","Installed version: 1.580
Fixed version:     None
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.113409,"CVE-2019-12840",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,fdc96551-a4e8-4b82-9f94-9f861b8bf4d8,"Successful exploitation would allow an authorized attacker to gain
  control over the target system.","No known solution was made available for at least one year since the disclosure
  of this vulnerability. Likely none will be provided anymore. General solution options are to upgrade to a newer
  release, disable respective features, remove the product or replace the product by another one.","Webmin through version 1.941.","Any user authorized to the 'Package Updates' module can execute arbitrary
  commands with root privileges via the data parameter to update.cgi.","Checks if a vulnerable version is present on the target host.
Details:
Webmin <= 1.941 RCE Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.113409)
Version used: 2024-06-28T05:05:33Z
","","","",""
192.168.155.132,,10000,tcp,8.8,High,80,"WillNotFix","Webmin <= 1.930 XXE Vulnerability","Webmin is prone to an authenticated XXE vulnerability in xmlrpc.cgi.","Installed version: 1.580
Fixed version:     None
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.142805,"CVE-2019-15642",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,afe60611-47c1-46e8-9c15-8962125bfe6e,"Successful exploitation would allow an authenticated attacker to gain
  control over the target system.","No known solution was made available for at least one year since the disclosure
  of this vulnerability. Likely none will be provided anymore. General solution options are to upgrade to a newer
  release, disable respective features, remove the product or replace the product by another one.","Webmin version 1.930 and prior.","","Checks if a vulnerable version is present on the target host.
Details:
Webmin <= 1.930 XXE Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.142805)
Version used: 2021-09-08T08:01:40Z
","","","CB-K19/0786",""
192.168.155.132,,10000,tcp,8.8,High,80,"VendorFix","Webmin < 1.930 RCE Vulnerability","Webmin is prone to an authenticated remote code execution (RCE) vulnerability.","Installed version: 1.580
Fixed version:     1.930
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.142804,"CVE-2019-15642",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,aa3ce660-2c62-47f2-ada5-3d9b751be22c,"Successful exploitation would allow an authenticated attacker to gain
  control over the target system.","Update to version 1.930 or later.","Webmin version 1.920 and prior.","rpc.cgi in Webmin through 1.920 allows authenticated Remote Code Execution via
  a crafted object name because unserialise_variable makes an eval call.","Checks if a vulnerable version is present on the target host.
Details:
Webmin < 1.930 RCE Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.142804)
Version used: 2024-06-28T05:05:33Z
","","","CB-K19/0786",""
192.168.155.132,,80,tcp,8.8,High,80,"VendorFix","Joomla! < 3.8.13 ACL Violation Vulnerability","If an attacker gets access to the mail account of an user who can approve
admin verifications in the registration process, he can activate himself.","Installed version: 1.5.0
Fixed version:     3.8.13
Installation
path / port:       /joomla1.5.0

",1.3.6.1.4.1.25623.1.0.141580,"CVE-2018-17855",f033a5fd-0b5f-4ecd-a7b1-bc769ecb6a64,"ForAttacksScan",2024-11-30T03:23:21Z,58bdf42e-f4ce-4a6a-9182-2ee902c21938,"","Update to version 3.8.13 or later.","Joomla! CMS versions 1.5.0 through 3.8.12.","","Checks if a vulnerable version is present on the target host.
Details:
Joomla! < 3.8.13 ACL Violation Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.141580)
Version used: 2023-07-20T05:05:17Z
","","","DFN-CERT-2018-2061",""
